"govguareatsleep" "govtakecarewhocant" "govhelpneedy" "improveblackpos" "equalOPP" "poortoodep" "richgetricher" "govwasteful" "age" "agesq.01" "black" "bornagain" "blackbornagain" "rel.catholic" "rel.nonchr" "ed.cat1" "ed.cat3" "ed.cat4" "ed.cat5" "income.1" "income.3" "income.4" "income.dk" "parent" "hispanic" "female" "unborn" "womentradrole" "peacethrustrength" "searchterrorists" "bandangerousbooks" "firegayteachers" "xratedOK" "bush" "gore" "novote" "other"
"60" 4 1 1 2 4 1 4 1 -4.81633482324258 0.231970811295792 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 3 4 1 4 1 4 1 FALSE TRUE FALSE FALSE
"61" 2 2 3 2 3 2 4 2 17.1836651767574 2.95278348906905 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 3 1 4 1 4 1 TRUE FALSE FALSE FALSE
"62" 2 3 3 2 4 1 2 2 -24.8163348232426 6.15850474059283 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 2 3 3 1 1 1 2 FALSE FALSE TRUE FALSE
"63" 4 4 2 3 4 3 2 3 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 4 4 4 3 4 1 2 FALSE FALSE TRUE FALSE
"64" 3 1 2 2 3 2 3 2 -0.816334823242585 0.00666402543638502 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 2 3 3 3 2 3 2 TRUE FALSE FALSE FALSE
"65" 4 2 2 2 4 3 2 3 37.1836651767574 13.8262495597720 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 2 4 3 3 4 3 1 FALSE TRUE FALSE FALSE
"66" 3 3 2 3 3 2 4 2 8.18366517675742 0.66972375725272 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 2 2 3 3 1 3 3 FALSE TRUE FALSE FALSE
"67" 3 3 3 3 3 3 3 3 -24.8163348232426 6.15850474059283 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 3 3 2 3 2 3 3 FALSE FALSE TRUE FALSE
"68" 4 4 3 3 4 2 2 3 23.1836651767574 5.37482331027994 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 2 3 3 4 1 2 2 FALSE FALSE TRUE FALSE
"69" 4 4 1 1 4 4 1 3 42.1836651767574 17.7946160774478 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 2 4 1 4 4 4 1 FALSE FALSE TRUE FALSE
"70" 4 4 4 1 4 1 2 4 -7.81633482324258 0.610950900690347 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 4 4 3 1 4 3 2 FALSE FALSE TRUE FALSE
"71" 4 4 4 4 1 4 4 4 -21.8163348232426 4.75952465119827 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 4 1 4 4 4 4 FALSE TRUE FALSE FALSE
"72" 4 1 1 1 3 1 3 3 -2.81633482324258 0.0793174183660884 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 3 4 1 1 1 3 3 FALSE TRUE FALSE FALSE
"73" 1 2 1 1 3 1 2 2 28.1836651767574 7.94318982795569 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 4 3 2 1 1 1 1 FALSE FALSE TRUE FALSE
"74" 4 3 3 1 4 1 4 1 34.1836651767574 11.6852296491666 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 1 4 1 1 1 2 FALSE TRUE FALSE FALSE
"75" 3 2 3 1 2 2 3 2 3.18366517675742 0.101357239576978 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 4 4 2 3 4 4 1 FALSE TRUE FALSE FALSE
"76" 4 3 2 2 3 2 2 3 -9.81633482324258 0.96360429362005 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 4 4 2 1 4 4 3 TRUE FALSE FALSE FALSE
"77" 3 3 3 3 3 2 3 2 2.18366517675742 0.047683936041830 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 4 2 1 3 1 2 FALSE FALSE TRUE FALSE
"78" 4 1 1 1 4 1 2 3 6.18366517675742 0.382377150182423 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 4 3 3 1 1 4 FALSE FALSE TRUE FALSE
"79" 1 2 2 1 3 1 2 2 -3.81633482324258 0.14564411483094 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 2 4 2 4 4 2 2 TRUE FALSE FALSE FALSE
"80" 2 3 3 2 3 2 2 3 -12.8163348232426 1.64258438301461 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 3 4 2 3 4 4 2 TRUE FALSE FALSE FALSE
"81" 1 2 1 2 3 2 3 2 29.1836651767574 8.51686313149083 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 3 3 3 4 3 2 1 TRUE FALSE FALSE FALSE
"82" 1 2 2 1 2 1 2 1 12.1836651767574 1.48441697139331 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 2 3 2 1 2 TRUE FALSE FALSE FALSE
"83" 4 4 2 1 4 2 2 2 32.1836651767574 10.3578830420963 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 3 2 3 1 3 1 FALSE TRUE FALSE FALSE
"84" 1 3 1 1 2 3 2 3 -10.8163348232426 1.16993099008490 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 4 4 2 1 1 1 1 TRUE FALSE FALSE FALSE
"85" 3 2 2 3 4 2 3 4 0.183665176757415 0.000337328971533326 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 2 4 2 1 2 2 4 FALSE TRUE FALSE FALSE
"86" 4 4 4 2 4 3 4 3 12.1836651767574 1.48441697139331 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 2 4 1 2 1 3 3 TRUE FALSE FALSE FALSE
"87" 3 3 3 2 3 2 2 3 -8.81633482324258 0.777277597155199 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 4 3 2 3 4 1 TRUE FALSE FALSE FALSE
"88" 2 2 3 2 3 3 2 3 8.18366517675742 0.66972375725272 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 3 3 2 2 2 2 FALSE FALSE TRUE FALSE
"89" 4 2 4 4 4 2 4 4 -25.8163348232426 6.66483143705768 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 4 1 4 4 4 4 FALSE TRUE FALSE FALSE
"90" 4 4 4 3 4 1 4 4 9.18366517675742 0.843397060787868 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 3 1 1 1 4 FALSE TRUE FALSE FALSE
"91" 4 4 4 2 4 4 4 1 -0.816334823242585 0.00666402543638502 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 4 4 1 3 1 1 FALSE FALSE TRUE FALSE
"92" 4 3 2 1 4 2 3 2 -0.816334823242585 0.00666402543638502 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 2 3 2 2 1 4 3 FALSE TRUE FALSE FALSE
"93" 2 3 2 1 3 2 2 1 12.1836651767574 1.48441697139331 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 2 2 2 4 2 1 2 FALSE FALSE TRUE FALSE
"94" 3 2 2 1 3 2 3 1 7.18366517675742 0.516050453717572 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 3 4 2 2 3 1 1 FALSE TRUE FALSE FALSE
"95" 3 2 2 2 4 2 3 2 -9.81633482324258 0.96360429362005 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 2 3 2 2 3 3 2 TRUE FALSE FALSE FALSE
"96" 1 1 1 1 1 1 1 1 -13.8163348232426 1.90891107947946 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1 1 4 2 1 1 TRUE FALSE FALSE FALSE
"97" 1 1 1 1 4 1 4 3 0.183665176757415 0.000337328971533326 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 4 4 4 4 4 3 FALSE FALSE TRUE FALSE
"98" 3 4 3 3 4 1 4 2 -27.8163348232426 7.73748482998738 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 4 2 4 4 4 3 FALSE FALSE TRUE FALSE
"99" 3 3 3 2 4 2 3 2 26.1836651767574 6.85584322088539 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 3 3 3 2 3 2 FALSE TRUE FALSE FALSE
"100" 3 2 2 2 3 3 1 3 -13.8163348232426 1.90891107947946 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 4 1 4 1 4 1 TRUE FALSE FALSE FALSE
"101" 3 3 3 2 3 2 3 3 -8.81633482324258 0.777277597155199 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 3 3 3 2 2 3 FALSE FALSE TRUE FALSE
"102" 2 2 2 2 3 2 3 2 -19.8163348232426 3.92687125826857 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 3 2 3 3 3 3 FALSE TRUE FALSE FALSE
"103" 4 4 4 2 4 2 4 2 -2.81633482324258 0.0793174183660884 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 3 2 1 1 1 1 TRUE FALSE FALSE FALSE
"104" 1 1 1 1 4 1 3 1 -18.8163348232426 3.54054456180372 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 3 1 1 2 1 1 TRUE FALSE FALSE FALSE
"105" 3 4 3 1 3 1 4 3 4.18366517675742 0.175030543112127 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 2 2 1 1 1 1 FALSE FALSE TRUE FALSE
"106" 3 2 2 2 3 2 2 3 8.18366517675742 0.66972375725272 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 3 2 3 1 1 3 TRUE FALSE FALSE FALSE
"107" 2 4 3 1 4 1 2 2 -8.81633482324258 0.777277597155199 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 2 4 1 1 4 4 4 FALSE FALSE TRUE FALSE
"108" 4 4 3 2 4 3 4 2 6.18366517675742 0.382377150182423 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 4 2 1 1 2 2 FALSE TRUE FALSE FALSE
"109" 2 3 3 1 4 2 3 2 26.1836651767574 6.85584322088539 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3 3 2 1 2 3 2 TRUE FALSE FALSE FALSE
"110" 3 2 3 2 4 2 3 3 -23.8163348232426 5.67217804412797 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 3 4 2 2 1 1 4 FALSE FALSE TRUE FALSE
"111" 3 3 3 2 3 3 4 1 7.18366517675742 0.516050453717572 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 2 1 2 1 1 3 FALSE FALSE TRUE FALSE
"112" 4 4 4 2 4 3 4 1 -0.816334823242585 0.00666402543638502 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 4 2 4 4 4 4 FALSE FALSE TRUE FALSE
"113" 4 4 3 3 4 1 3 2 20.1836651767574 4.0738033996745 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 2 4 1 1 2 4 TRUE FALSE FALSE FALSE
"114" 1 3 1 1 3 1 2 4 10.1836651767574 1.03707036432302 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 4 3 4 1 2 1 FALSE FALSE TRUE FALSE
"115" 4 3 2 2 4 2 4 3 16.1836651767574 2.61911018553391 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 4 1 1 1 2 2 FALSE TRUE FALSE FALSE
"116" 1 1 1 1 3 2 2 1 25.1836651767574 6.34216991735024 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 3 2 4 3 3 2 TRUE FALSE FALSE FALSE
"117" 4 4 4 1 4 2 4 3 23.1836651767574 5.37482331027994 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 4 1 1 4 1 1 1 FALSE TRUE FALSE FALSE
"118" 4 3 3 4 3 1 4 2 -13.8163348232426 1.90891107947946 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 1 4 2 1 2 4 1 FALSE TRUE FALSE FALSE
"119" 4 4 3 4 4 2 4 3 -25.8163348232426 6.66483143705768 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 1 2 1 4 4 FALSE FALSE TRUE FALSE
"120" 2 3 2 1 2 1 3 1 28.1836651767574 7.94318982795569 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 2 3 2 3 2 2 1 TRUE FALSE FALSE FALSE
"121" 3 2 3 3 4 2 4 3 14.1836651767574 2.01176357846361 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 3 4 4 3 2 4 2 FALSE TRUE FALSE FALSE
"122" 1 1 1 1 4 3 2 1 -0.816334823242585 0.00666402543638502 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 3 1 3 2 4 3 FALSE FALSE FALSE TRUE
"123" 2 1 1 1 3 3 2 3 7.18366517675742 0.516050453717572 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 3 1 4 1 1 1 TRUE FALSE FALSE FALSE
"124" 2 3 1 1 1 1 3 1 -17.8163348232426 3.17421786533886 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 3 2 2 3 1 1 FALSE TRUE FALSE FALSE
"125" 4 4 4 1 4 2 4 1 -6.81633482324258 0.464624204225495 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 4 3 4 1 1 3 TRUE FALSE FALSE FALSE
"126" 3 4 2 2 4 2 2 4 -0.816334823242585 0.00666402543638502 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 2 1 2 1 1 1 1 TRUE FALSE FALSE FALSE
"127" 3 2 2 2 4 3 3 2 11.1836651767574 1.25074366785816 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 3 4 4 3 3 3 3 FALSE TRUE FALSE FALSE
"128" 1 2 2 1 3 1 1 1 4.18366517675742 0.175030543112127 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 2 1 3 1 1 1 TRUE FALSE FALSE FALSE
"129" 4 2 2 4 4 1 2 1 33.1836651767574 11.0115563456314 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 3 1 1 1 1 FALSE FALSE TRUE FALSE
"130" 2 2 2 2 4 2 3 1 16.1836651767574 2.61911018553391 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 3 2 2 2 3 1 TRUE FALSE FALSE FALSE
